IsBadBuy,RefId
0.0634876767901099,73015
0.05674063711901562,73016
0.05899035998938994,73017
0.1965925821386578,73018
0.6745602009274465,73019
0.08242294256227561,73020
0.06910032814307795,73021
0.16241286208308695,73022
0.0778850540769085,73023
0.6985577787322662,73024
0.06719742654150009,73025
0.6606264181342143,73026
0.6272821750574449,73027
0.0784898834891784,73028
0.05942894568690851,73029
0.04762423028835579,73030
0.09345496531692302,73031
0.06851820180204136,73032
0.061181050335187934,73033
0.06504087620174434,73034
0.07266981373901359,73035
0.07351202663943618,73036
0.10206480217626296,73037
0.0798222959968436,73038
0.09736923607483332,73039
0.040236184363453706,73040
0.6838025478457709,73041
0.050264144136979244,73042
0.07901318964911175,73043
0.05158470096170569,73044
0.10927081889139928,73045
0.05699749379442975,73046
0.12165443198497126,73047
0.13658355901547453,73048
0.04820481752729112,73049
0.059391337451681375,73050
0.08210144981433679,73051
0.8413121371620362,73052
0.6984797480654276,73053
0.05245378743012338,73054
0.22794837627711587,73055
0.0959957792538517,73056
0.08178233600971083,73057
0.15423606793720604,73058
0.054448322571293874,73059
0.16603782881718376,73060
0.07511397826590568,73061
0.056104942617445405,73062
0.07131094963180672,73063
0.04224136065175727,73064
0.0700157207773348,73065
0.0417068585800304,73066
0.05289438169745136,73067
0.06990266733891004,73068
0.048920174241578025,73069
0.040590712691080166,73070
0.08820225485735013,73071
0.0834592087404934,73072
0.14777768516396095,73073
0.05853726007252405,73074
0.11483731949690595,73075
0.07042810625959955,73076
0.04601715984762525,73077
0.1141455937696989,73078
0.10126054668595015,73079
0.07189891637210312,73080
0.1112706877600486,73081
0.05699749379442975,73082
0.07100935043494394,73083
0.05932204799200118,73084
0.051714448563198546,73085
0.2049861884302608,73086
0.08667980109485515,73087
0.0658287161634976,73088
0.128998840513402,73089
0.10927081889139928,73090
0.07675976896855022,73091
0.04862600161510763,73092
0.05892623931342178,73093
0.07820815483466627,73094
0.22517466328852775,73095
0.08939252177654806,73096
0.06691067755507514,73097
0.054161870083855895,73098
0.04995913690179695,73099
0.05574983578515212,73100
0.1304851791117077,73101
0.06540332042096185,73102
0.054161870083855895,73103
0.7164504222070659,73104
0.21656280940408557,73105
0.08057112570856882,73106
0.26352915480166306,73107
0.0633631524241066,73108
0.117557296505059,73109
0.11277178312563597,73110
0.06663366236443388,73111
0.164005280920992,73112
0.1126967315969986,73113
0.10098172664955615,73114
0.05308900208279989,73115
0.0831630314657048,73116
0.11465412881018927,73117
0.09660008583319298,73118
0.7012269610092406,73119
0.6834516831542969,73120
